temperatura,umidade,pressao,vento,chuva,nivel_agua,gases,luminosidade,evento
7.29,56.49,1040.1,15.97,291.0,3.83,433.52,36567.0,enchente
17.52,40.36,1030.17,5.48,157.31,2.71,1259.15,44931.12,enchente
37.11,15.73,1018.18,1.42,230.42,2.65,958.22,51072.92,enchente
41.36,20.27,1046.53,5.32,263.18,3.67,1749.54,44889.72,enchente
-8.84,61.8,960.94,2.85,285.82,4.65,1847.63,17699.36,enchente
35.92,87.77,1025.55,11.18,265.56,4.95,1298.55,17325.97,enchente
-4.18,50.41,981.62,3.26,163.23,4.67,1835.6,81004.27,enchente
20.71,39.76,1005.36,10.8,257.97,3.05,655.68,25409.22,enchente
37.81,16.8,1014.41,2.78,229.39,4.93,834.24,634.11,enchente
0.21,28.29,982.99,6.17,278.25,2.48,365.42,4441.39,enchente
27.4,64.37,953.42,4.43,172.57,4.14,1735.01,74324.33,enchente
6.85,61.66,959.15,15.95,186.77,3.67,636.05,87042.67,enchente
14.14,27.8,974.92,17.12,182.04,3.05,561.09,16475.64,enchente
28.51,16.26,1034.73,15.77,200.75,3.46,1292.17,85029.35,enchente
-1.42,18.06,978.3,21.21,275.34,4.56,1393.09,29436.88,enchente
43.04,99.6,1031.88,12.6,291.71,3.95,1762.22,79706.33,enchente
27.58,18.88,1006.97,11.16,155.06,4.84,1146.51,56049.82,enchente
14.01,23.52,972.64,13.52,281.04,2.43,1057.3,14005.84,enchente
42.75,80.87,1039.63,24.79,137.15,4.93,1488.87,10163.04,enchente
14.4,16.96,1020.76,8.45,162.22,3.54,610.81,76126.73,enchente
1.11,99.29,995.39,19.37,175.75,4.14,1746.15,28198.14,enchente
-2.04,89.38,963.1,3.62,178.18,3.12,659.56,32159.48,enchente
30.89,35.5,1027.92,1.86,265.91,4.89,746.49,74629.15,enchente
29.07,95.22,1024.36,8.65,283.88,4.4,1184.08,73786.48,enchente
39.02,29.35,953.02,3.39,206.65,3.03,670.2,42756.6,enchente
-9.17,93.52,1015.59,21.72,167.01,4.03,517.83,3148.33,enchente
35.95,18.93,987.72,14.66,263.83,4.86,881.75,83604.63,enchente
-8.67,74.86,955.22,20.83,260.44,4.93,1197.02,39491.05,enchente
36.38,24.96,1043.13,3.4,226.38,4.49,404.25,44171.8,enchente
17.59,38.84,1005.15,21.27,113.88,2.91,1730.7,32237.99,enchente
